Date,AdjustedLowPrice
2019-03-29,188.54
2019-03-28,187.53
2019-03-27,186.55
2019-03-26,184.58
2019-03-25,186.6
2019-03-22,190.78
2019-03-21,189.81
2019-03-20,184.73
2019-03-19,185.92
2019-03-18,185.79
2019-03-15,183.74
2019-03-14,182.56
2019-03-13,180.92
2019-03-12,179.37
2019-03-11,175.35
2019-03-08,169.5
2019-03-07,172.02
2019-03-06,173.94
2019-03-05,174.54
2019-03-04,173.97
2019-03-01,172.89
2019-02-28,172.92
2019-02-27,172.73
2019-02-26,173.1732
2019-02-25,173.95
2019-02-22,171.38
2019-02-21,170.3
2019-02-20,170.99
2019-02-19,169.49
2019-02-15,169.75
2019-02-14,169.38
2019-02-13,169.92
2019-02-12,169.7
2019-02-11,169.25
2019-02-08,168.42
2019-02-07,169.612562302562
2019-02-06,172.11493009828
2019-02-05,171.614078161928
2019-02-04,166.56563004563
2019-02-01,165.221395226395
2019-01-31,163.857245817246
2019-01-30,159.545737100737
2019-01-29,153.451872586873
2019-01-28,153.003794313794
2019-01-25,153.660975780976
2019-01-24,151.091993681994
2019-01-23,151.052164502165
2019-01-22,151.968235638236
2019-01-18,155.314484181584
2019-01-17,152.605502515503
2019-01-16,152.346612846613
2019-01-15,149.409210834211
2019-01-14,148.582755352755
2019-01-11,150.862975897976
2019-01-10,150.215751725752
2019-01-09,148.991004446004
2019-01-08,147.885744705745
2019-01-07,145.276933426933
2019-01-04,143.185901485902
2019-01-03,141.393588393588
2019-01-02,153.57136012636
2018-12-31,155.811751491752
2018-12-28,153.889993564994
2018-12-27,149.429125424125
2018-12-26,146.093431613432
2018-12-24,145.963986778987
2018-12-21,148.991004446004
2018-12-20,154.636790686791
2018-12-19,158.410605475606
2018-12-18,163.687971802972
2018-12-17,162.035060840061
2018-12-14,164.574171054171
2018-12-13,168.825936000936
2018-12-12,168.298199368199
2018-12-11,166.286825786826
2018-12-10,162.632498537499
2018-12-07,167.581274131274
2018-12-06,169.692220662221
2018-12-04,175.517238212238
2018-12-03,180.436141921142
2018-11-30,176.273992628993
2018-11-29,176.941131391131
2018-11-28,174.182960687961
2018-11-27,170.150256230256
2018-11-26,169.532903942904
2018-11-23,171.365046215046
2018-11-21,175.796042471043
2018-11-20,174.760483795484
2018-11-19,184.199999414999
2018-11-16,188.65091026091
2018-11-15,186.101842751843
2018-11-14,185.135985140985
2018-11-13,190.632511530362
2018-11-12,192.962418977419
2018-11-09,201.386290511291
2018-11-08,205.867073242073
2018-11-07,202.551529259127
2018-11-06,200.130396983654
2018-11-05,196.637615996087
2018-11-02,203.841476782944
2018-11-01,215.133478952978
2018-10-31,214.944948161035
2018-10-30,207.651783314836
2018-10-29,204.496373218113
2018-10-26,211.025492223282
2018-10-25,215.073942913417
2018-10-24,212.881032122927
2018-10-23,213.039794895089
2018-10-22,217.247008357386
2018-10-19,215.748684695106
2018-10-18,211.352940440866
2018-10-17,217.643915287792
2018-10-16,215.086544708457
2018-10-15,215.589921922944
2018-10-12,215.163246972758
2018-10-11,210.678198659177
2018-10-10,214.379355785207
2018-10-09,220.527642590652
2018-10-08,218.497265188163
2018-10-05,218.874326772048
2018-10-04,224.976770827031
2018-10-03,228.003186171372
2018-10-02,224.87754409443
2018-10-01,224.599709243146
2018-09-28,222.287726373535
2018-09-27,221.811438057048
2018-09-26,218.060667564717
2018-09-25,218.001131525156
2018-09-24,214.954870834295
2018-09-21,215.609767269464
2018-09-20,217.455384495849
2018-09-19,213.635155290697
2018-09-18,215.441081824042
2018-09-17,215.589921922944
2018-09-14,220.801309919166
2018-09-13,220.848938750815
2018-09-12,218.140048950798
2018-09-11,214.885412121474
2018-09-10,214.796108062133
2018-09-07,219.00332152443
2018-09-06,219.588759246778
2018-09-05,223.359375085629
2018-09-04,224.87754409443
2018-08-31,224.252415679041
2018-08-30,220.680253305393
2018-08-29,217.713374000613
2018-08-28,217.227163010866
2018-08-27,214.657190636491
2018-08-24,213.446624498755
2018-08-23,212.940568162488
2018-08-22,212.186444994718
2018-08-21,212.37001445003
2018-08-20,213.446624498755
2018-08-17,211.511703213028
2018-08-16,209.834771432066
2018-08-15,206.719052028383
2018-08-14,206.649593315562
2018-08-13,206.093923612995
2018-08-10,205.071888267201
2018-08-09,204.879260714717
2018-08-08,202.229277998909
2018-08-07,204.444188925554
2018-08-06,204.75071677701
2018-08-03,203.178822178756
2018-08-02,198.105983997073
2018-08-01,195.100033453768
2018-07-31,187.219301272801
2018-07-30,186.952325402179
2018-07-27,187.970788908628
2018-07-26,191.44147522672
2018-07-25,190.274691792147
2018-07-24,189.898947974234
2018-07-23,187.436837167383
2018-07-20,188.040004875085
2018-07-19,187.56538110509
2018-07-18,187.802692990088
2018-07-17,187.080869339886
2018-07-16,188.282260757687
2018-07-13,188.761828525287
2018-07-12,187.189637287177
2018-07-11,185.508678101776
2018-07-10,188.049991750246
2018-07-09,187.179749291969
2018-07-06,183.12567125659
2018-07-05,182.215975697432
2018-07-03,181.484264052023
2018-07-02,181.365608109524
2018-06-29,180.861320353904
2018-06-28,181.741351927437
2018-06-27,181.968775817226
2018-06-26,180.495464531199
2018-06-25,178.705737398507
2018-06-22,182.631271496178
2018-06-21,182.868583381176
2018-06-20,183.649735002627
2018-06-19,181.395272095149
2018-06-18,185.103270298238
2018-06-15,186.151397790312
2018-06-14,188.089444851127
2018-06-13,188.306980745708
2018-06-12,189.009028405493
2018-06-11,188.079556855918
2018-06-08,187.644485066756
2018-06-07,190.180755837669
2018-06-06,189.770404036527
2018-06-05,190.20547582569
2018-06-04,189.206788309658
2018-06-01,185.647110034691
2018-05-31,184.055142806165
2018-05-30,184.687974499492
2018-05-29,184.776966456366
2018-05-25,185.548230082609
2018-05-24,184.124358772623
2018-05-23,183.679398988252
2018-05-22,184.687974499492
2018-05-21,184.817111716912
2018-05-18,184.045254810957
2018-05-17,184.272678700746
2018-05-16,183.91671087325
2018-05-15,183.026791304508
2018-05-14,185.755877981982
2018-05-11,185.350470178444
2018-05-10,184.835484302982
2018-05-09,182.441931268843
