Date,OpenPrice
2019-03-29,189.83
2019-03-28,188.95
2019-03-27,188.75
2019-03-26,191.664
2019-03-25,191.51
2019-03-22,195.34
2019-03-21,190.02
2019-03-20,186.23
2019-03-19,188.35
2019-03-18,185.8
2019-03-15,184.85
2019-03-14,183.9
2019-03-13,182.25
2019-03-12,180.0
2019-03-11,175.49
2019-03-08,170.32
2019-03-07,173.87
2019-03-06,174.67
2019-03-05,175.94
2019-03-04,175.69
2019-03-01,174.28
2019-02-28,174.32
2019-02-27,173.21
2019-02-26,173.71
2019-02-25,174.16
2019-02-22,171.58
2019-02-21,171.8
2019-02-20,171.19
2019-02-19,169.71
2019-02-15,171.25
2019-02-14,169.71
2019-02-13,171.39
2019-02-12,170.1
2019-02-11,171.05
2019-02-08,168.99
2019-02-07,172.4
2019-02-06,174.65
2019-02-05,172.86
2019-02-04,167.41
2019-02-01,166.96
2019-01-31,166.11
2019-01-30,163.25
2019-01-29,156.25
2019-01-28,155.79
2019-01-25,155.48
2019-01-24,154.11
2019-01-23,154.15
2019-01-22,156.41
2019-01-18,157.5
2019-01-17,154.2
2019-01-16,153.08
2019-01-15,150.27
2019-01-14,150.85
2019-01-11,152.88
2019-01-10,152.5
2019-01-09,151.29
2019-01-08,149.56
2019-01-07,148.7
2019-01-04,144.53
2019-01-03,143.98
2019-01-02,154.89
2018-12-31,158.53
2018-12-28,157.5
2018-12-27,155.84
2018-12-26,148.3
2018-12-24,148.15
2018-12-21,156.86
2018-12-20,160.4
2018-12-19,166.0
2018-12-18,165.38
2018-12-17,165.45
2018-12-14,169.0
2018-12-13,170.49
2018-12-12,170.4
2018-12-11,171.66
2018-12-10,165.0
2018-12-07,173.49
2018-12-06,171.76
2018-12-04,180.95
2018-12-03,184.46
2018-11-30,180.29
2018-11-29,182.66
2018-11-28,176.73
2018-11-27,171.51
2018-11-26,174.24
2018-11-23,174.94
2018-11-21,179.73
2018-11-20,178.37
2018-11-19,190.0
2018-11-16,190.5
2018-11-15,188.39
2018-11-14,193.9
2018-11-13,191.63
2018-11-12,199.0
2018-11-09,205.55
2018-11-08,209.98
2018-11-07,205.97
2018-11-06,201.92
2018-11-05,204.3
2018-11-02,209.55
2018-11-01,219.05
2018-10-31,216.88
2018-10-30,211.15
2018-10-29,219.19
2018-10-26,215.9
2018-10-25,217.71
2018-10-24,222.6
2018-10-23,215.83
2018-10-22,219.79
2018-10-19,218.06
2018-10-18,217.86
2018-10-17,222.3
2018-10-16,218.93
2018-10-15,221.16
2018-10-12,220.42
2018-10-11,214.52
2018-10-10,225.46
2018-10-09,223.64
2018-10-08,222.21
2018-10-05,227.96
2018-10-04,230.78
2018-10-03,230.05
2018-10-02,227.25
2018-10-01,227.95
2018-09-28,224.79
2018-09-27,223.82
2018-09-26,221.0
2018-09-25,219.75
2018-09-24,216.82
2018-09-21,220.78
2018-09-20,220.24
2018-09-19,218.5
2018-09-18,217.79
2018-09-17,222.15
2018-09-14,225.75
2018-09-13,223.52
2018-09-12,224.94
2018-09-11,218.01
2018-09-10,220.95
2018-09-07,221.85
2018-09-06,226.23
2018-09-05,228.99
2018-09-04,228.41
2018-08-31,226.51
2018-08-30,223.25
2018-08-29,220.15
2018-08-28,219.01
2018-08-27,217.15
2018-08-24,216.6
2018-08-23,214.65
2018-08-22,214.1
2018-08-21,216.8
2018-08-20,218.1
2018-08-17,213.44
2018-08-16,211.75
2018-08-15,209.22
2018-08-14,210.155
2018-08-13,207.7
2018-08-10,207.36
2018-08-09,207.28
2018-08-08,206.05
2018-08-07,209.32
2018-08-06,208.0
2018-08-03,207.03
2018-08-02,200.58
2018-08-01,199.13
2018-07-31,190.3
2018-07-30,191.9
2018-07-27,194.99
2018-07-26,194.61
2018-07-25,193.0602
2018-07-24,192.45
2018-07-23,190.68
2018-07-20,191.78
2018-07-19,189.69
2018-07-18,191.78
2018-07-17,189.75
2018-07-16,191.52
2018-07-13,191.08
2018-07-12,189.53
2018-07-11,188.5
2018-07-10,190.71
2018-07-09,189.5
2018-07-06,185.42
2018-07-05,185.26
2018-07-03,187.79
2018-07-02,183.82
2018-06-29,186.29
2018-06-28,184.1
2018-06-27,185.2278
2018-06-26,182.99
2018-06-25,183.4
2018-06-22,186.12
2018-06-21,187.25
2018-06-20,186.35
2018-06-19,185.14
2018-06-18,187.88
2018-06-15,190.03
2018-06-14,191.55
2018-06-13,192.42
2018-06-12,191.385
2018-06-11,191.35
2018-06-08,191.17
2018-06-07,194.14
2018-06-06,193.63
2018-06-05,193.065
2018-06-04,191.635
2018-06-01,187.9912
2018-05-31,187.22
2018-05-30,187.72
2018-05-29,187.6
2018-05-25,188.23
2018-05-24,188.77
2018-05-23,186.35
2018-05-22,188.375
2018-05-21,188.0
2018-05-18,187.19
2018-05-17,188.0
2018-05-16,186.07
2018-05-15,186.78
2018-05-14,189.01
2018-05-11,189.49
2018-05-10,187.74
2018-05-09,186.55
2018-05-08,184.99
2018-05-07,185.18
2018-05-04,178.25
2018-05-03,175.88
2018-05-02,175.225
2018-05-01,166.4102
2018-04-30,162.1302
2018-04-27,164.0
2018-04-26,164.12
2018-04-25,162.62
2018-04-24,165.67
2018-04-23,166.8348
2018-04-20,170.595
2018-04-19,174.95
2018-04-18,177.81
2018-04-17,176.49
2018-04-16,175.0301
2018-04-13,174.78
2018-04-12,173.41
2018-04-11,172.23
2018-04-10,173.0
2018-04-09,169.88
2018-04-06,170.97
2018-04-05,172.58
2018-04-04,164.88
2018-04-03,167.64
2018-04-02,167.88
2018-03-29,167.805
2018-03-28,167.25
2018-03-27,173.68
2018-03-26,168.07
2018-03-23,168.39
2018-03-22,170.0
2018-03-21,175.04
2018-03-20,175.24
2018-03-19,177.32
2018-03-16,178.65
2018-03-15,178.5
2018-03-14,180.32
2018-03-13,182.59
2018-03-12,180.29
2018-03-09,177.96
2018-03-08,175.48
2018-03-07,174.94
2018-03-06,177.91
2018-03-05,175.21
2018-03-02,172.8
2018-03-01,178.54
2018-02-28,179.26
2018-02-27,179.1
2018-02-26,176.35
2018-02-23,173.67
2018-02-22,171.8
2018-02-21,172.83
2018-02-20,172.05
2018-02-16,172.36
2018-02-15,169.79
2018-02-14,163.045
2018-02-13,161.95
2018-02-12,158.5
2018-02-09,157.07
2018-02-08,160.29
2018-02-07,163.085
2018-02-06,154.83
2018-02-05,159.1
2018-02-02,166.0
2018-02-01,167.165
2018-01-31,166.87
2018-01-30,165.525
2018-01-29,170.16
2018-01-26,172.0
2018-01-25,174.505
2018-01-24,177.25
2018-01-23,177.3
2018-01-22,177.3
2018-01-19,178.61
2018-01-18,179.37
2018-01-17,176.15
2018-01-16,177.9
2018-01-12,176.18
2018-01-11,174.59
2018-01-10,173.16
2018-01-09,174.55
2018-01-08,174.35
2018-01-05,173.44
2018-01-04,172.54
2018-01-03,172.53
2018-01-02,170.16
2017-12-29,170.52
2017-12-28,171.0
2017-12-27,170.1
2017-12-26,170.8
2017-12-22,174.68
2017-12-21,174.17
2017-12-20,174.87
2017-12-19,175.03
2017-12-18,174.88
2017-12-15,173.63
2017-12-14,172.4
2017-12-13,172.5
2017-12-12,172.15
2017-12-11,169.2
2017-12-08,170.49
2017-12-07,169.03
2017-12-06,167.5
2017-12-05,169.06
2017-12-04,172.48
2017-12-01,169.95
2017-11-30,170.43
2017-11-29,172.63
2017-11-28,174.3
2017-11-27,175.05
2017-11-24,175.1
2017-11-22,173.36
2017-11-21,170.78
2017-11-20,170.29
2017-11-17,171.04
2017-11-16,171.18
2017-11-15,169.97
2017-11-14,173.04
2017-11-13,173.5
2017-11-10,175.11
2017-11-09,175.11
2017-11-08,174.66
2017-11-07,173.91
2017-11-06,172.365
2017-11-03,174.0
2017-11-02,167.64
2017-11-01,169.87
2017-10-31,167.9
2017-10-30,163.89
2017-10-27,159.29
2017-10-26,157.23
2017-10-25,156.91
2017-10-24,156.29
2017-10-23,156.89
2017-10-20,156.61
2017-10-19,156.75
2017-10-18,160.42
2017-10-17,159.78
2017-10-16,157.9
2017-10-13,156.73
2017-10-12,156.35
2017-10-11,155.97
2017-10-10,156.055
2017-10-09,155.81
2017-10-06,154.97
2017-10-05,154.18
2017-10-04,153.63
2017-10-03,154.01
2017-10-02,154.26
2017-09-29,153.21
2017-09-28,153.89
2017-09-27,153.8
2017-09-26,151.78
2017-09-25,149.99
2017-09-22,152.02
2017-09-21,155.8
2017-09-20,157.9
2017-09-19,159.51
2017-09-18,160.11
2017-09-15,158.47
2017-09-14,158.99
2017-09-13,159.87
2017-09-12,162.61
2017-09-11,160.5
2017-09-08,160.86
2017-09-07,162.09
2017-09-06,162.71
2017-09-05,163.75
2017-09-01,164.8
2017-08-31,163.64
2017-08-30,163.8
2017-08-29,160.1
2017-08-28,160.14
2017-08-25,159.65
2017-08-24,160.43
2017-08-23,159.07
2017-08-22,158.23
2017-08-21,157.5
2017-08-18,157.86
2017-08-17,160.52
2017-08-16,161.94
2017-08-15,160.66
2017-08-14,159.32
2017-08-11,156.6
2017-08-10,159.9
2017-08-09,159.26
2017-08-08,158.6
2017-08-07,157.06
2017-08-04,156.07
2017-08-03,157.05
2017-08-02,159.28
2017-08-01,149.1
2017-07-31,149.9
2017-07-28,149.89
2017-07-27,153.75
2017-07-26,153.35
2017-07-25,151.8
2017-07-24,150.58
2017-07-21,149.99
2017-07-20,151.5
2017-07-19,150.48
2017-07-18,149.2
2017-07-17,148.82
2017-07-14,147.97
2017-07-13,145.5
2017-07-12,145.87
2017-07-11,144.73
2017-07-10,144.11
2017-07-07,142.9
2017-07-06,143.02
2017-07-05,143.69
2017-07-03,144.8762
2017-06-30,144.45
2017-06-29,144.71
2017-06-28,144.49
2017-06-27,145.01
2017-06-26,147.17
2017-06-23,145.13
2017-06-22,145.77
2017-06-21,145.52
2017-06-20,146.87
2017-06-19,143.66
2017-06-16,143.78
2017-06-15,143.32
2017-06-14,147.5
2017-06-13,147.16
2017-06-12,145.74
2017-06-09,155.19
2017-06-08,155.25
2017-06-07,155.02
2017-06-06,153.9
2017-06-05,154.34
2017-06-02,153.58
2017-06-01,153.17
2017-05-31,153.97
2017-05-30,153.42
2017-05-26,154.0
2017-05-25,153.73
2017-05-24,153.84
2017-05-23,154.9
2017-05-22,154.0
2017-05-19,153.38
2017-05-18,151.27
2017-05-17,153.6
2017-05-16,155.94
2017-05-15,156.01
2017-05-12,154.7
2017-05-11,152.45
2017-05-10,153.63
2017-05-09,153.87
2017-05-08,149.03
2017-05-05,146.76
2017-05-04,146.52
2017-05-03,145.59
2017-05-02,147.54
2017-05-01,145.1
2017-04-28,144.09
2017-04-27,143.9225
2017-04-26,144.47
2017-04-25,143.91
2017-04-24,143.5
2017-04-21,142.44
2017-04-20,141.22
2017-04-19,141.88
2017-04-18,141.41
2017-04-17,141.48
2017-04-13,141.91
2017-04-12,141.6
2017-04-11,142.94
2017-04-10,143.6
2017-04-07,143.73
2017-04-06,144.29
2017-04-05,144.22
2017-04-04,143.25
2017-04-03,143.71
2017-03-31,143.72
2017-03-30,144.19
2017-03-29,143.68
2017-03-28,140.91
2017-03-27,139.39
2017-03-24,141.5
2017-03-23,141.26
2017-03-22,139.845
2017-03-21,142.11
2017-03-20,140.4
2017-03-17,141.0
2017-03-16,140.72
2017-03-15,139.41
2017-03-14,139.3
2017-03-13,138.85
2017-03-10,139.25
2017-03-09,138.74
2017-03-08,138.95
2017-03-07,139.06
2017-03-06,139.365
2017-03-03,138.78
2017-03-02,140.0
2017-03-01,137.89
2017-02-28,137.08
2017-02-27,137.14
2017-02-24,135.91
2017-02-23,137.38
2017-02-22,136.43
2017-02-21,136.23
2017-02-17,135.1
2017-02-16,135.67
2017-02-15,135.52
2017-02-14,133.47
2017-02-13,133.08
2017-02-10,132.46
2017-02-09,131.65
2017-02-08,131.35
2017-02-07,130.54
2017-02-06,129.13
2017-02-03,128.31
2017-02-02,127.975
2017-02-01,127.03
2017-01-31,121.15
2017-01-30,120.93
2017-01-27,122.14
2017-01-26,121.67
2017-01-25,120.42
2017-01-24,119.55
2017-01-23,120.0
2017-01-20,120.45
2017-01-19,119.4
2017-01-18,120.0
2017-01-17,118.34
2017-01-13,119.11
2017-01-12,118.895
2017-01-11,118.74
2017-01-10,118.77
2017-01-09,117.95
2017-01-06,116.78
2017-01-05,115.92
2017-01-04,115.85
2017-01-03,115.8
2016-12-30,116.65
2016-12-29,116.45
2016-12-28,117.52
2016-12-27,116.52
2016-12-23,115.59
2016-12-22,116.35
2016-12-21,116.8
2016-12-20,116.74
2016-12-19,115.8
2016-12-16,116.47
2016-12-15,115.38
2016-12-14,115.04
2016-12-13,113.84
2016-12-12,113.29
2016-12-09,112.31
2016-12-08,110.86
2016-12-07,109.26
2016-12-06,109.5
2016-12-05,110.0
2016-12-02,109.17
2016-12-01,110.365
2016-11-30,111.6
2016-11-29,110.78
2016-11-28,111.43
2016-11-25,111.13
2016-11-23,111.36
2016-11-22,111.95
2016-11-21,110.12
2016-11-18,109.72
2016-11-17,109.81
2016-11-16,106.7
2016-11-15,106.57
2016-11-14,107.71
2016-11-11,107.12
2016-11-10,111.09
2016-11-09,109.88
2016-11-08,110.31
2016-11-07,110.08
2016-11-04,108.53
2016-11-03,110.98
2016-11-02,111.4
2016-11-01,113.46
2016-10-31,113.65
2016-10-28,113.87
2016-10-27,115.39
2016-10-26,114.31
2016-10-25,117.95
2016-10-24,117.1
2016-10-21,116.81
2016-10-20,116.86
2016-10-19,117.25
2016-10-18,118.18
2016-10-17,117.33
2016-10-14,117.88
2016-10-13,116.79
2016-10-12,117.35
2016-10-11,117.7
2016-10-10,115.02
2016-10-07,114.31
2016-10-06,113.7
2016-10-05,113.4
2016-10-04,113.06
2016-10-03,112.71
2016-09-30,112.46
2016-09-29,113.16
2016-09-28,113.69
2016-09-27,113.0
2016-09-26,111.64
2016-09-23,114.42
2016-09-22,114.35
2016-09-21,113.85
2016-09-20,113.05
2016-09-19,115.19
2016-09-16,115.12
2016-09-15,113.86
2016-09-14,108.73
2016-09-13,107.51
2016-09-12,102.65
2016-09-09,104.64
2016-09-08,107.25
2016-09-07,107.83
2016-09-06,107.9
2016-09-02,107.7
2016-09-01,106.14
2016-08-31,105.66
2016-08-30,105.8
2016-08-29,106.62
2016-08-26,107.41
2016-08-25,107.39
2016-08-24,108.565
2016-08-23,108.59
2016-08-22,108.86
2016-08-19,108.77
2016-08-18,109.23
2016-08-17,109.1
2016-08-16,109.63
2016-08-15,108.14
2016-08-12,107.78
2016-08-11,108.52
2016-08-10,108.71
2016-08-09,108.23
2016-08-08,107.52
2016-08-05,106.27
2016-08-04,105.58
2016-08-03,104.81
2016-08-02,106.05
2016-08-01,104.41
2016-07-29,104.19
2016-07-28,102.83
2016-07-27,104.265
2016-07-26,96.82
2016-07-25,98.25
2016-07-22,99.26
2016-07-21,99.83
2016-07-20,100.0
2016-07-19,99.56
2016-07-18,98.7
2016-07-15,98.92
2016-07-14,97.39
2016-07-13,97.41
2016-07-12,97.17
2016-07-11,96.75
2016-07-08,96.49
2016-07-07,95.7
2016-07-06,94.6
2016-07-05,95.39
2016-07-01,95.49
2016-06-30,94.44
2016-06-29,93.97
2016-06-28,92.9
2016-06-27,93.0
2016-06-24,92.91
2016-06-23,95.94
2016-06-22,96.25
2016-06-21,94.94
2016-06-20,96.0
2016-06-17,96.62
2016-06-16,96.45
2016-06-15,97.82
2016-06-14,97.32
2016-06-13,98.69
2016-06-10,98.53
2016-06-09,98.5
2016-06-08,99.02
2016-06-07,99.25
2016-06-06,97.99
2016-06-03,97.79
2016-06-02,97.6
2016-06-01,99.02
2016-05-31,99.6
2016-05-27,99.44
2016-05-26,99.68
2016-05-25,98.67
2016-05-24,97.22
2016-05-23,95.87
2016-05-20,94.64
2016-05-19,94.64
2016-05-18,94.16
2016-05-17,94.55
2016-05-16,92.39
2016-05-13,90.0
2016-05-12,92.72
2016-05-11,93.48
2016-05-10,93.33
2016-05-09,93.0
2016-05-06,93.37
2016-05-05,94.0
2016-05-04,95.2
2016-05-03,94.2
2016-05-02,93.965
2016-04-29,93.99
2016-04-28,97.61
2016-04-27,96.0
2016-04-26,103.91
2016-04-25,105.0
2016-04-22,105.01
2016-04-21,106.93
2016-04-20,106.64
2016-04-19,107.88
2016-04-18,108.89
2016-04-15,112.11
2016-04-14,111.62
2016-04-13,110.8
2016-04-12,109.34
2016-04-11,108.97
2016-04-08,108.91
2016-04-07,109.95
2016-04-06,110.23
2016-04-05,109.51
2016-04-04,110.42
2016-04-01,108.78
2016-03-31,109.72
2016-03-30,108.65
2016-03-29,104.89
2016-03-28,106.0
2016-03-24,105.47
