DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta
54.36,16.18,2.38,3.71,14.46,14.8,6.94,27,17.77,13850000000,13850000000,12.44,0.63,2.25,11.89,2.25,2930000000,11.89,890000000,2.52,85.2,31.9,2980000000,8.55,2150000000,3.2,11.36,13850000000,1.55
44.12,13.75,2.19,2.83,15.96,15.69,6.85,22.38,19.85,15060000000,15060000000,13.08,2.07,2.18,10.75,2.18,3600000000,10.75,1100000000,3.13,22.2,2.8,2450000000,7.06,2360000000,2.55,15.41,1320000000,1.66
56.39,17.74,2.32,3.31,13.73,14.04,5.98,19.41,19.8,15860000000,15860000000,15.09,2.16,2.32,11.93,2.32,3600000000,11.93,938000000,2.69,30.9,4.1,2330000000,7.04,2700000000,2.96,14.46,1260000000,1.81
0.595,24.92,1.33,2.41,6.4,8.44,4.52,10.66,25.638,29780000000,36340000000,12.98,1.26,1.65,10.8,1.65,4020000000,10.8,1190000000,1.375,53.7,11.4,459000000,0.53,7310000000,1.374,14.078,2530000000,1.808
0.561,20.88,1.26,2.34,7.04,9.46,5.08,11.87,25.984,28610000000,35240000000,12.75,1.43,1.56,9.7,1.56,4020000000,9.7,1370000000,1.575,53.7,11.4,466000000,0.54,6880000000,1.372,14.049,1780000000,1.676
0.53,21.15,1.26,2.34,7.01,9.57,5.13,11.58,26.536,29230000000,35370000000,13.49,1.47,1.52,9.53,1.52,4020000000,9.53,1390000000,1.588,53.7,11.4,561000000,0.64,6650000000,1.293,14.36,2140000000,1.736
0.53,20.69,1.25,2.33,7.01,9.57,5.13,11.58,26.536,28600000000,34750000000,13.2,1.5,1.49,9.36,1.49,4020000000,9.36,1390000000,1.588,53.7,11.4,561000000,0.64,6650000000,1.293,14.36,2140000000,1.736
0.457,18.43,1.1,1.95,7.02,9.39,5.12,11.17,26.757,25630000000,31510000000,11.96,1.12,1.34,8.57,1.34,4020000000,8.57,1400000000,1.597,53.7,11.4,457000000,0.52,6080000000,1.322,15.207,2140000000,1.611
0.457,18.39,1.08,1.92,7.02,9.39,5.12,11.17,26.757,25580000000,31260000000,11.89,1.39,1.33,8.5,1.33,4020000000,8.5,1400000000,1.6,53.7,11.4,457000000,0.52,6080000000,1.322,15.207,2140000000,1.611
48.26,13.78,0.57,0.85,4.04,8.2,3.05,6.55,22.58,20950000000,20950000000,8.6,0.28,0.89,6.18,0.89,3840000000,6.18,949000000,0.87,136.8,27,1270000000,1.19,9350000000,1.36,14.66,20950000000,2.28
50.93,11.23,0.45,0.74,4.31,8.64,3.41,7.22,23.44,19100000000,19100000000,10.39,0.34,0.78,5.29,0.78,3840000000,5.29,1060000000,0.95,182,21.4,1340000000,1.25,9310000000,1.36,13.97,19100000000,2.01
50.93,11.47,0.47,0.78,4.31,8.64,3.41,7.22,23.44,19660000000,19660000000,10.61,0.34,0.8,5.45,0.8,3840000000,5.45,1060000000,0.95,182,21.4,1340000000,1.25,9310000000,1.36,13.97,19660000000,2.01
50.93,9.08,0.37,0.62,4.31,8.64,3.41,7.22,23.44,17240000000,17240000000,9.83,0.47,0.7,4.78,0.7,3840000000,4.78,1060000000,0.95,182,21.4,1340000000,1.25,9310000000,1.36,13.97,2420000000,2.1
55.28,23.1,0.36,0.64,1.59,5.79,2.23,3,23.48,17030000000,17030000000,8.6,1.16,0.68,5.8,0.68,4470000000,5.8,398000000,0.37,69.5,0.8,1760000000,1.65,9740000000,1.25,13.21,2190000000,1.96
53.21,36.21,0.37,0.65,1.05,3.06,1.11,1.36,22.03,16070000000,16070000000,10.4,2.6,0.68,7.39,0.68,3210000000,7.39,244000000,0.22,58.5,2.9,1560000000,1.45,8920000000,1.2,12.5,1660000000,1.86
53.21,36.92,0.38,0.67,1.05,3.06,1.11,1.36,22.03,16400000000,16400000000,10.88,2.87,0.7,7.55,0.7,3210000000,7.55,244000000,0.22,58.5,2.9,1560000000,1.45,8920000000,1.2,12.5,1660000000,1.86
2.921,63.7,1.49,2.33,2.36,2.31,2.54,3.95,19.326,10990000000,6070000000,37.08,2.89,0.85,21.08,0.85,1710000000,21.08,169000000,0.454,6.2,8.1,4590000000,12.09,2.921,2.921,12.042,361000000,1.701
2.917,54.4,1.51,2.38,2.76,3,3.09,4.78,20.197,11750000000,6590000000,34.43,2.65,0.86,17.9,0.86,1710000000,17.9,211000000,0.557,6.2,8.1,4970000000,12.8,2.917,2.917,12.493,361000000,1.744
2.917,69.28,1.98,3.13,2.76,3,3.09,4.78,20.197,14970000000,10190000000,41.05,3.38,1.33,27.68,1.33,1710000000,27.68,211000000,0.557,6.2,8.1,4970000000,12.8,2.917,2.917,12.493,564000000,1.802
2.632,88.41,3.08,5.03,3.33,3.94,3.86,6.02,21.419,24540000000,20060000000,37.09,2.21,2.42,61.54,2.42,1710000000,61.54,276000000,0.709,6.2,8.1,5460000000,13.96,2.632,2.632,12.968,564000000,1.775
2.581,57.83,2.99,5.03,5.2,6.71,6.62,10.37,24.517,29100000000,22700000000,30.35,1.71,2.33,34.66,2.33,2260000000,34.66,508000000,1.244,300,33.4,6450000000,15.94,2.581,2.581,14.312,934000000,1.81
2.581,62.55,3.3,5.56,5.2,6.71,6.62,10.37,24.517,31480000000,26090000000,32.83,1.92,2.67,32.09,2.67,2260000000,32.09,508000000,1.24,300,33.4,6450000000,15.78,2.581,2.581,14.312,934000000,1.81
2.581,72.01,1.86,3.11,5.2,6.71,6.63,10.37,12.259,18330000000,30210000000,18.24,2.06,3.09,37.16,3.09,2260000000,37.16,508000000,0.62,300,33.4,6450000000,7.89,2.581,2.581,14.312,1490000000,1.8
