Date,MarketCap,AdjustedVolume,ClosePrice,AdjustedHighPrice,Volume,AdjustedClosePrice,HighPrice,AdjustedLowPrice,LowPrice,will_increase
2019-03-29,906679217400.0,23563961.0,189.95,190.08,23563961.0,189.95,190.08,188.54,188.54,0
2019-03-28,900808117440.0,20780363.0,188.72,189.55900000000003,20780363.0,188.72,189.55900000000003,187.53,187.53,0
2019-03-27,899614804440.0,29848427.0,188.47,189.76,29848427.0,188.47,189.76,186.55,186.55,1
2019-03-26,891595741080.0,49800538.0,186.79,192.88,49800538.0,186.79,192.88,184.58,184.58,0
2019-03-25,900903582480.0,43845293.0,188.74,191.98,43845293.0,188.74,191.98,186.6,186.6,1
2019-03-22,911929794600.0,42407666.0,191.05,197.69,42407666.0,191.05,197.69,190.78,190.78,0
2019-03-21,931213732680.0,51034237.0,195.09,196.33,51034237.0,195.09,196.33,189.81,189.81,0
2019-03-20,898135096320.0,31035231.0,188.16,189.49,31035231.0,188.16,189.49,184.73,184.73,1
2019-03-19,890354695560.0,31646369.0,186.53,188.99,31646369.0,186.53,188.99,185.92,185.92,0
2019-03-18,897466841040.0,26219832.0,188.02,188.39,26219832.0,188.02,188.39,185.79,185.79,0
2019-03-15,888397662240.0,39042912.0,186.12,187.33,39042912.0,186.12,187.33,183.74,183.74,0
2019-03-14,876989589960.0,23579508.0,183.73,184.1,23579508.0,183.73,184.1,182.56,182.56,0
2019-03-13,867347620920.0,31032524.0,181.71,183.3,31032524.0,181.71,183.3,180.92,180.92,0
2019-03-12,863529019320.0,32467584.0,180.91,182.67,32467584.0,180.91,182.67,179.37,179.37,0
2019-03-11,853934782800.0,32011034.0,178.9,179.12,32011034.0,178.9,179.12,175.35,175.35,0
2019-03-08,825343003320.0,23999358.0,172.91,173.07,23999358.0,172.91,173.07,169.5,169.5,1
2019-03-07,823385970000.0,24796374.0,172.5,174.44,24796374.0,172.5,174.44,172.02,172.02,1
2019-03-06,833027939040.0,20810384.0,174.52,175.49,20810384.0,174.52,175.49,173.94,173.94,1
2019-03-05,837848923560.0,19737419.0,175.53,176.0,19737419.0,175.53,176.0,174.54,174.54,0
2019-03-04,839376364200.0,27436203.0,175.85,177.75,27436203.0,175.85,177.75,173.97,173.97,0
2019-03-01,835175902440.0,25886167.0,174.97,175.15,25886167.0,174.97,175.15,172.89,172.89,1
2019-02-28,826488583800.0,28215416.0,173.15,174.91,28215416.0,173.15,174.91,172.92,172.92,0
2019-02-27,834698577240.0,27835389.0,174.87,175.0,27835389.0,174.87,175.0,172.73,172.73,1
2019-02-26,832121021160.0,17070211.0,174.33,175.3,17070211.0,174.33,175.3,173.1732,173.1732,1
2019-02-25,831643695960.0,21873358.0,174.23,175.87,21873358.0,174.23,175.87,173.95,173.95,0
2019-02-22,825629398440.0,18913154.0,172.97,173.0,18913154.0,172.97,173.0,171.38,171.38,1
2019-02-21,816512487120.0,17249670.0,171.06,172.37,17249670.0,171.06,172.37,170.3,170.3,0
2019-02-20,821142541560.0,26114362.0,172.03,173.32,26114362.0,172.03,173.32,170.99,170.99,0
2019-02-19,815891964360.0,18972826.0,170.93,171.44,18972826.0,170.93,171.44,169.49,169.49,1
2019-02-15,813457605840.0,24626814.0,170.42,171.7,24626814.0,170.42,171.7,169.75,169.75,0
2019-02-14,815271441600.0,21835747.0,170.8,171.2615,21835747.0,170.8,171.2615,169.38,169.38,1
2019-02-13,812312025360.0,22490233.0,170.18,172.48,22490233.0,170.18,172.48,169.92,169.92,0
2019-02-12,815701034280.0,22283523.0,170.89,171.0,22283523.0,170.89,171.0,169.7,169.7,1
2019-02-11,808732086360.0,20993425.0,169.43,171.21,20993425.0,169.43,171.21,169.25,169.25,0
2019-02-08,813409873320.0,23819966.0,170.41,170.66,23819966.0,170.41,170.66,168.42,168.42,1
2019-02-07,812455222920.0,31741690.0,170.94,173.19718848718898,31741690.0,170.21,173.94,169.612562302562,170.34,1
2019-02-06,828139686683.0,28239591.0,174.24,174.820227565228,28239591.0,173.495907335907,175.57,172.11493009827998,172.8531,0
2019-02-05,827854514615.0,36101628.0,174.18,174.33232011232,36101628.0,173.43616356616403,175.08,171.614078161928,172.3501,0
2019-02-04,813928611940.0,31495582.0,171.25,170.921946589447,31495582.0,170.518676143676,171.655,166.56563004563,167.28,0
2019-02-01,791447547213.0,32668138.0,166.52,168.25837018837,32668138.0,165.808875628876,168.98,165.221395226395,165.93,0
2019-01-31,791067317789.0,40739649.0,166.44,168.278284778285,40739649.0,165.729217269217,169.0,163.857245817246,164.56,0
2019-01-30,785411405098.0,61109780.0,165.25,165.440455715456,61109780.0,164.544299169299,166.15,159.545737100737,160.23,0
2019-01-29,735173592379.0,41587239.0,154.68,157.45470515970501,41587239.0,154.019438399438,158.13,153.451872586873,154.11,0
2019-01-28,742873238226.0,26192058.0,156.3,155.662392067392,26192058.0,155.63252018251998,156.33,153.003794313794,153.66,0
2019-01-25,749812425224.0,33547893.0,157.76,157.45470515970501,33547893.0,157.086285246285,158.13,153.660975780976,154.32,0
2019-01-24,725762914121.0,25441549.0,152.7,153.820292500293,25441549.0,152.047893997894,154.48,151.091993681994,151.74,1
2019-01-23,731561412846.0,23130570.0,153.92,154.477473967474,23130570.0,153.262683982684,155.14,151.052164502165,151.7,1
2019-01-22,728614634805.0,30393970.0,153.3,156.06068386568398,30393970.0,152.645331695332,156.73,151.968235638236,152.62,1
2019-01-18,745344729486.0,33751023.0,156.82,157.20577278577298,33751023.0,156.1502995203,157.88,155.314484181584,155.9806,0
2019-01-17,740781976391.0,29821160.0,155.86,156.986712296712,29821160.0,155.194399204399,157.66,152.60550251550302,153.26,0
2019-01-16,736409338009.0,30569706.0,154.94,155.214313794314,30569706.0,154.278328068328,155.88,152.346612846613,153.0,0
2019-01-15,727521475210.0,28710324.0,153.07,152.734947349947,28710324.0,152.41631391131398,153.39,149.409210834211,150.05,1
2019-01-14,712930171042.0,32439186.0,150.0,150.624000819001,32439186.0,149.359424359424,151.27,148.582755352755,149.22,1
2019-01-11,723814238320.0,27023241.0,152.29,153.043623493624,27023241.0,151.639644904645,153.7,150.86297589797599,151.51,0
2019-01-10,730991068709.0,35780670.0,153.8,153.31247045747,35780670.0,153.143196443197,153.97,150.215751725752,150.86,0
2019-01-09,728662163483.0,45099081.0,153.31,153.870078975079,45099081.0,152.655288990289,154.53,148.991004446004,149.63,0
2019-01-08,716494821898.0,41025314.0,150.75,151.17165204165198,41025314.0,150.106221481222,151.82,147.885744705745,148.52,0
2019-01-07,703091734682.0,54777764.0,147.93,148.194420849421,54777764.0,147.298264303264,148.83,145.276933426933,145.9,0
2019-01-04,704660181058.0,58607070.0,148.26,147.915517017667,58607070.0,147.626855036855,148.5499,143.185901485902,143.8,0
2019-01-03,675810273470.0,91312195.0,142.19,145.097702117702,91312195.0,141.58277699777702,145.72,141.393588393588,142.0,1
2019-01-02,750572884074.0,37039737.0,157.92,158.17163039663,37039737.0,157.245601965602,158.85,153.57136012636002,154.23,1
2018-12-31,749717367868.0,35003466.0,157.74,158.679452439452,35003466.0,157.066370656371,159.36,155.811751491752,156.48,0
2018-12-28,777831051936.0,42291424.0,156.23,157.84303966304,42291424.0,155.562819117819,158.52,153.889993564994,154.55,0
2018-12-27,777432751455.0,53117065.0,156.15,156.100513045513,53117065.0,155.483160758161,156.77,149.429125424125,150.07,0
2018-12-26,782511082589.0,58582544.0,157.17,156.558548613549,58582544.0,156.498804843805,157.23,146.09343161343202,146.72,0
2018-12-24,731030745413.0,37169232.0,146.83,150.902805077805,37169232.0,146.202961857962,151.55,145.96398677898702,146.59,1
2018-12-21,750447893864.0,95744384.0,150.73,157.484577044577,95744384.0,150.086306891307,158.16,148.991004446004,149.63,1
2018-12-20,780818305544.0,64772960.0,156.83,161.417708552709,64772960.0,156.160256815257,162.11,154.636790686791,155.3,1
2018-12-19,801032054958.0,49047297.0,160.89,166.734904059904,49047297.0,160.202918567919,167.45,158.410605475606,159.09,0
2018-12-18,826822011106.0,33841518.0,166.07,166.814562419562,33841518.0,165.36079735579702,167.53,163.687971802972,164.39,1
2018-12-17,816217260798.0,44287922.0,163.94,167.631060606061,44287922.0,163.239893529894,168.35,162.035060840061,162.73,1
2018-12-14,823884545058.0,40703710.0,165.48,168.357943137943,40703710.0,164.773316953317,169.08,164.57417105417102,165.28,1
2018-12-13,851118340450.0,31897827.0,170.95,171.833039078039,31897827.0,170.219957294957,172.57,168.825936000936,169.55,0
2018-12-12,841907641826.0,35627674.0,169.1,171.185814905815,35627674.0,168.37785772785801,171.92,168.298199368199,169.02,1
2018-12-11,839567626500.0,47281665.0,168.63,171.05637007137,47281665.0,167.909864864865,171.79,166.286825786826,167.0,0
2018-12-10,844397019832.0,62025994.0,169.6,169.36362992863002,62025994.0,168.875722475723,170.09,162.632498537499,163.33,1
2018-12-07,838870600658.0,42281631.0,168.49,173.74483970983997,42281631.0,167.770462735463,174.49,167.581274131274,168.3,0
2018-12-06,869888250620.0,43098410.0,174.72,174.03360126360099,43098410.0,173.973857493858,174.78,169.692220662221,170.42,1
2018-12-04,879696399966.0,41344282.0,176.69,181.611003153153,41344282.0,175.93544460044498,182.3899,175.517238212238,176.27,1
2018-12-03,920173686353.0,40798002.0,184.82,184.150212940213,40798002.0,184.03072540072498,184.94,180.436141921142,181.21,0
2018-11-30,889106248831.0,39531549.0,178.58,179.5598999649,39531549.0,177.817373347373,180.33,176.273992628993,177.03,1
2018-11-29,893935642163.0,41769992.0,179.55,182.019351819352,41769992.0,178.783230958231,182.8,176.941131391131,177.7,0
2018-11-28,900856113022.0,46062539.0,180.94,180.51580028080002,46062539.0,180.16729495729498,181.29,174.182960687961,174.93,0
2018-11-27,867498447733.0,41387377.0,174.24,174.023643968644,41387377.0,173.495907335907,174.77,170.150256230256,170.88,1
2018-11-26,869390375018.0,44998520.0,174.62,174.202875277875,44998520.0,173.87428454428502,174.95,169.532903942904,170.26,1
2018-11-23,857789873508.0,23623972.0,172.29,175.84085029834998,23623972.0,171.554234819235,176.595,171.365046215046,172.1,1
2018-11-21,880144488007.0,31124210.0,176.78,179.500156195156,31124210.0,176.02506025506,180.27,175.79604247104302,176.55,0
2018-11-20,881140239210.0,67825247.0,176.98,180.69503159003202,67825247.0,176.224206154206,181.47,174.76048379548402,175.51,1
2018-11-19,925351592606.0,41920872.0,185.86,189.885614835615,41920872.0,185.06628407628398,190.7,184.199999414999,184.99,1
2018-11-16,963538651227.0,36928253.0,193.53,194.136881917632,36928253.0,192.70352930852903,194.9695,188.65091026091,189.46,0
2018-11-15,952983688479.0,46478801.0,191.41,191.150191295191,46478801.0,190.592582777583,191.97,186.101842751843,186.9,1
2018-11-14,930031623259.0,60800957.0,186.8,193.64947232947202,60800957.0,186.00226980227,194.48,185.13598514098499,185.93,0
2018-11-13,957066268410.0,46882936.0,192.23,196.33794196794202,46882936.0,191.409080964081,197.18,190.63251153036202,191.4501,1
2018-11-12,966725055076.0,51135518.0,194.17,198.99653972154,51135518.0,193.34079618579602,199.85,192.96241897741902,193.79,1
2018-11-09,1018006242011.0,34365750.0,204.47,205.130233415233,34365750.0,203.59680999181,206.01,201.386290511291,202.25,1
2018-11-08,1038020841184.0,25362636.0,208.49,209.222681642682,25362636.0,207.59964256464298,210.12,205.867073242073,206.75,0
2018-11-07,1041655333074.0,33424434.0,209.95,208.435674502387,33424434.0,208.326525096525,210.06,202.551529259127,204.13,0
2018-11-06,1010993604289.0,31882881.0,203.77,203.13696698147498,31882881.0,202.194313021762,204.72,200.13039698365398,201.69,1
2018-11-05,1000177654653.0,66163669.0,201.59,202.80951876389,66163669.0,200.031170251053,204.39,196.637615996087,198.17,1
2018-11-02,1029400564449.0,91328654.0,207.48,211.997914202775,91328654.0,205.875624801272,213.65,203.841476782944,205.43,1
2018-11-01,1102532260613.0,58323180.0,222.22,220.640562612352,58323180.0,220.50164518671002,222.36,215.13347895297798,216.81,0
2018-10-31,1085861806128.0,38358933.0,218.86,218.74533201966702,38358933.0,217.167626971305,220.45,214.944948161035,216.62,0
2018-10-30,1058276173111.0,36659990.0,213.3,213.51608321157602,36659990.0,211.65062063867,215.18,207.651783314836,209.27,1
