date,marketcap
2019-03-29,906679217400.0
2019-03-28,900808117440.0
2019-03-27,899614804440.0
2019-03-26,891595741080.0
2019-03-25,900903582480.0
2019-03-22,911929794600.0
2019-03-21,931213732680.0
2019-03-20,898135096320.0
2019-03-19,890354695560.0
2019-03-18,897466841040.0
2019-03-15,888397662240.0
2019-03-14,876989589960.0
2019-03-13,867347620920.0
2019-03-12,863529019320.0
2019-03-11,853934782800.0
2019-03-08,825343003320.0
2019-03-07,823385970000.0
2019-03-06,833027939040.0
2019-03-05,837848923560.0
2019-03-04,839376364200.0
2019-03-01,835175902440.0
2019-02-28,826488583800.0
2019-02-27,834698577240.0
2019-02-26,832121021160.0
2019-02-25,831643695960.0
2019-02-22,825629398440.0
2019-02-21,816512487120.0
2019-02-20,821142541560.0
2019-02-19,815891964360.0
2019-02-15,813457605840.0
2019-02-14,815271441600.0
2019-02-13,812312025360.0
2019-02-12,815701034280.0
2019-02-11,808732086360.0
2019-02-08,813409873320.0
2019-02-07,812455222920.0
2019-02-06,828139686683.0
2019-02-05,827854514615.0
2019-02-04,813928611940.0
2019-02-01,791447547213.0
2019-01-31,791067317789.0
2019-01-30,785411405098.0
2019-01-29,735173592379.0
2019-01-28,742873238226.0
2019-01-25,749812425224.0
2019-01-24,725762914121.0
2019-01-23,731561412846.0
2019-01-22,728614634805.0
2019-01-18,745344729486.0
2019-01-17,740781976391.0
2019-01-16,736409338009.0
2019-01-15,727521475210.0
2019-01-14,712930171042.0
2019-01-11,723814238320.0
2019-01-10,730991068709.0
2019-01-09,728662163483.0
2019-01-08,716494821898.0
2019-01-07,703091734682.0
2019-01-04,704660181058.0
2019-01-03,675810273470.0
2019-01-02,750572884074.0
2018-12-31,749717367868.0
2018-12-28,777831051936.0
2018-12-27,777432751455.0
2018-12-26,782511082589.0
2018-12-24,731030745413.0
2018-12-21,750447893864.0
2018-12-20,780818305544.0
2018-12-19,801032054958.0
2018-12-18,826822011106.0
2018-12-17,816217260798.0
2018-12-14,823884545058.0
2018-12-13,851118340450.0
2018-12-12,841907641826.0
2018-12-11,839567626500.0
2018-12-10,844397019832.0
2018-12-07,838870600658.0
2018-12-06,869888250620.0
2018-12-04,879696399966.0
2018-12-03,920173686353.0
2018-11-30,889106248831.0
2018-11-29,893935642163.0
2018-11-28,900856113022.0
2018-11-27,867498447733.0
2018-11-26,869390375018.0
2018-11-23,857789873508.0
2018-11-21,880144488007.0
2018-11-20,881140239210.0
2018-11-19,925351592606.0
2018-11-16,963538651227.0
2018-11-15,952983688479.0
2018-11-14,930031623259.0
2018-11-13,957066268410.0
2018-11-12,966725055076.0
2018-11-09,1018006242011.0
2018-11-08,1038020841184.0
2018-11-07,1041655333074.0
2018-11-06,1010993604289.0
2018-11-05,1000177654653.0
2018-11-02,1029400564449.0
2018-11-01,1102532260613.0
2018-10-31,1085861806128.0
2018-10-30,1058276173111.0
2018-10-29,1053017041637.0
2018-10-26,1073160507473.0
2018-10-25,1090525564228.0
2018-10-24,1067157159280.0
