Date,AdjustedVolume,MarketCap,AdjustedOpenPrice,AdjustedLowPrice,AdjustedHighPrice,AdjustedClosePrice,Volume,ClosePrice,OpenPrice,LowPrice,HighPrice
2019-03-29,23563961.0,906679217400.0,189.83,188.54,190.08,189.95,23563961.0,189.95,189.83,188.54,190.08
2019-03-28,20780363.0,900808117440.0,188.95,187.53,189.559,188.72,20780363.0,188.72,188.95,187.53,189.559
2019-03-27,29848427.0,899614804440.0,188.75,186.55,189.76,188.47,29848427.0,188.47,188.75,186.55,189.76
2019-03-26,49800538.0,891595741080.0,191.664,184.58,192.88,186.79,49800538.0,186.79,191.664,184.58,192.88
2019-03-25,43845293.0,900903582480.0,191.51,186.6,191.98,188.74,43845293.0,188.74,191.51,186.6,191.98
2019-03-22,42407666.0,911929794600.0,195.34,190.78,197.69,191.05,42407666.0,191.05,195.34,190.78,197.69
2019-03-21,51034237.0,931213732680.0,190.02,189.81,196.33,195.09,51034237.0,195.09,190.02,189.81,196.33
2019-03-20,31035231.0,898135096320.0,186.23,184.73,189.49,188.16,31035231.0,188.16,186.23,184.73,189.49
2019-03-19,31646369.0,890354695560.0,188.35,185.92,188.99,186.53,31646369.0,186.53,188.35,185.92,188.99
2019-03-18,26219832.0,897466841040.0,185.8,185.79,188.39,188.02,26219832.0,188.02,185.8,185.79,188.39
2019-03-15,39042912.0,888397662240.0,184.85,183.74,187.33,186.12,39042912.0,186.12,184.85,183.74,187.33
2019-03-14,23579508.0,876989589960.0,183.9,182.56,184.1,183.73,23579508.0,183.73,183.9,182.56,184.1
2019-03-13,31032524.0,867347620920.0,182.25,180.92,183.3,181.71,31032524.0,181.71,182.25,180.92,183.3
2019-03-12,32467584.0,863529019320.0,180.0,179.37,182.67,180.91,32467584.0,180.91,180.0,179.37,182.67
2019-03-11,32011034.0,853934782800.0,175.49,175.35,179.12,178.9,32011034.0,178.9,175.49,175.35,179.12
2019-03-08,23999358.0,825343003320.0,170.32,169.5,173.07,172.91,23999358.0,172.91,170.32,169.5,173.07
2019-03-07,24796374.0,823385970000.0,173.87,172.02,174.44,172.5,24796374.0,172.5,173.87,172.02,174.44
2019-03-06,20810384.0,833027939040.0,174.67,173.94,175.49,174.52,20810384.0,174.52,174.67,173.94,175.49
2019-03-05,19737419.0,837848923560.0,175.94,174.54,176.0,175.53,19737419.0,175.53,175.94,174.54,176.0
2019-03-04,27436203.0,839376364200.0,175.69,173.97,177.75,175.85,27436203.0,175.85,175.69,173.97,177.75
2019-03-01,25886167.0,835175902440.0,174.28,172.89,175.15,174.97,25886167.0,174.97,174.28,172.89,175.15
2019-02-28,28215416.0,826488583800.0,174.32,172.92,174.91,173.15,28215416.0,173.15,174.32,172.92,174.91
2019-02-27,27835389.0,834698577240.0,173.21,172.73,175.0,174.87,27835389.0,174.87,173.21,172.73,175.0
2019-02-26,17070211.0,832121021160.0,173.71,173.1732,175.3,174.33,17070211.0,174.33,173.71,173.1732,175.3
2019-02-25,21873358.0,831643695960.0,174.16,173.95,175.87,174.23,21873358.0,174.23,174.16,173.95,175.87
2019-02-22,18913154.0,825629398440.0,171.58,171.38,173.0,172.97,18913154.0,172.97,171.58,171.38,173.0
2019-02-21,17249670.0,816512487120.0,171.8,170.3,172.37,171.06,17249670.0,171.06,171.8,170.3,172.37
2019-02-20,26114362.0,821142541560.0,171.19,170.99,173.32,172.03,26114362.0,172.03,171.19,170.99,173.32
2019-02-19,18972826.0,815891964360.0,169.71,169.49,171.44,170.93,18972826.0,170.93,169.71,169.49,171.44
2019-02-15,24626814.0,813457605840.0,171.25,169.75,171.7,170.42,24626814.0,170.42,171.25,169.75,171.7
2019-02-14,21835747.0,815271441600.0,169.71,169.38,171.2615,170.8,21835747.0,170.8,169.71,169.38,171.2615
2019-02-13,22490233.0,812312025360.0,171.39,169.92,172.48,170.18,22490233.0,170.18,171.39,169.92,172.48
2019-02-12,22283523.0,815701034280.0,170.1,169.7,171.0,170.89,22283523.0,170.89,170.1,169.7,171.0
2019-02-11,20993425.0,808732086360.0,171.05,169.25,171.21,169.43,20993425.0,169.43,171.05,169.25,171.21
2019-02-08,23819966.0,813409873320.0,168.99,168.42,170.66,170.41,23819966.0,170.41,168.99,168.42,170.66
2019-02-07,31741690.0,812455222920.0,171.663765063765,169.612562302562,173.197188487189,170.21,31741690.0,170.94,172.4,170.34,173.94
2019-02-06,28239591.0,828139686683.0,173.904156429156,172.11493009828,174.820227565228,173.495907335907,28239591.0,174.24,174.65,172.8531,175.57
2019-02-05,36101628.0,827854514615.0,172.121800631801,171.614078161928,174.33232011232,173.436163566164,36101628.0,174.18,172.86,172.3501,175.08
2019-02-04,31495582.0,813928611940.0,166.695074880075,166.56563004563,170.921946589447,170.518676143676,31495582.0,171.25,167.41,167.28,171.655
2019-02-01,32668138.0,791447547213.0,166.246996606997,165.221395226395,168.25837018837,165.808875628876,32668138.0,166.52,166.96,165.93,168.98
2019-01-31,40739649.0,791067317789.0,165.400626535627,163.857245817246,168.278284778285,165.729217269217,40739649.0,166.44,166.11,164.56,169.0
2019-01-30,61109780.0,785411405098.0,162.55284017784,159.545737100737,165.440455715456,164.544299169299,61109780.0,165.25,163.25,160.23,166.15
2019-01-29,41587239.0,735173592379.0,155.582733707734,153.451872586873,157.454705159705,154.019438399438,41587239.0,154.68,156.25,154.11,158.13
2019-01-28,26192058.0,742873238226.0,155.124698139698,153.003794313794,155.662392067392,155.63252018252,26192058.0,156.3,155.79,153.66,156.33
2019-01-25,33547893.0,749812425224.0,154.816021996022,153.660975780976,157.454705159705,157.086285246285,33547893.0,157.76,155.48,154.32,158.13
2019-01-24,25441549.0,725762914121.0,153.451872586873,151.091993681994,153.820292500293,152.047893997894,25441549.0,152.7,154.11,151.74,154.48
2019-01-23,23130570.0,731561412846.0,153.491701766702,151.052164502165,154.477473967474,153.262683982684,23130570.0,153.92,154.15,151.7,155.14
2019-01-22,30393970.0,728614634805.0,155.74205042705,151.968235638236,156.060683865684,152.645331695332,30393970.0,153.3,156.41,152.62,156.73
2019-01-18,33751023.0,745344729486.0,156.827395577396,155.314484181584,157.205772785773,156.1502995203,33751023.0,156.82,157.5,155.9806,157.88
2019-01-17,29821160.0,740781976391.0,153.541488241488,152.605502515503,156.986712296712,155.194399204399,29821160.0,155.86,154.2,153.26,157.66
2019-01-16,30569706.0,736409338009.0,152.426271206271,152.346612846613,155.214313794314,154.278328068328,30569706.0,154.94,153.08,153.0,155.88
2019-01-15,28710324.0,727521475210.0,149.628271323271,149.409210834211,152.734947349947,152.416313911314,28710324.0,153.07,150.27,150.05,153.39
2019-01-14,32439186.0,712930171042.0,150.205794430794,148.582755352755,150.624000819001,149.359424359424,32439186.0,150.0,150.85,149.22,151.27
2019-01-11,27023241.0,723814238320.0,152.227125307125,150.862975897976,153.043623493624,151.639644904645,27023241.0,152.29,152.88,151.51,153.7
2019-01-10,35780670.0,730991068709.0,151.848748098748,150.215751725752,153.31247045747,153.143196443197,35780670.0,153.8,152.5,150.86,153.97
2019-01-09,45099081.0,728662163483.0,150.643915408915,148.991004446004,153.870078975079,152.655288990289,45099081.0,153.31,151.29,149.63,154.53
2019-01-08,41025314.0,716494821898.0,148.921303381303,147.885744705745,151.171652041652,150.106221481222,41025314.0,150.75,149.56,148.52,151.82
2019-01-07,54777764.0,703091734682.0,148.064976014976,145.276933426933,148.194420849421,147.298264303264,54777764.0,147.93,148.7,145.9,148.83
2019-01-04,58607070.0,704660181058.0,143.912784017784,143.185901485902,147.915517017667,147.626855036855,58607070.0,148.26,144.53,143.8,148.5499
2019-01-03,91312195.0,675810273470.0,143.365132795133,141.393588393588,145.097702117702,141.582776997777,91312195.0,142.19,143.98,142.0,145.72
2019-01-02,37039737.0,750572884074.0,154.228541593542,153.57136012636,158.17163039663,157.245601965602,37039737.0,157.92,154.89,154.23,158.85
2018-12-31,35003466.0,749717367868.0,157.852996957997,155.811751491752,158.679452439452,157.066370656371,35003466.0,157.74,158.53,156.48,159.36
2018-12-28,42291424.0,777831051936.0,156.827395577396,153.889993564994,157.84303966304,155.562819117819,42291424.0,156.23,157.5,154.55,158.52
2018-12-27,53117065.0,777432751455.0,155.174484614485,149.429125424125,156.100513045513,155.483160758161,53117065.0,156.15,155.84,150.07,156.77
2018-12-26,58582544.0,782511082589.0,147.666684216684,146.093431613432,156.558548613549,156.498804843805,58582544.0,157.17,148.3,146.72,157.23
2018-12-24,37169232.0,731030745413.0,147.517324792325,145.963986778987,150.902805077805,146.202961857962,37169232.0,146.83,148.15,146.59,151.55
2018-12-21,95744384.0,750447893864.0,156.190128700129,148.991004446004,157.484577044577,150.086306891307,95744384.0,150.73,156.86,149.63,158.16
